"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
2.47281753730706e-47,-1.2981956298039,0.381,0.76,6.97136720117607e-43,"heterozygous","Zbtb16","DOWN"
2.48892435990411e-35,-0.761560397879351,1,1,7.01677555544166e-31,"heterozygous","Dmxl1","DOWN"
8.47933111653585e-33,-1.01400510840805,0.711,0.926,2.39049302837379e-28,"heterozygous","Gclc","DOWN"
3.75994260887642e-28,-0.725344689418553,0.987,0.996,1.06000302029444e-23,"heterozygous","Slc26a4","DOWN"
1.03819650742423e-25,-0.727300969202031,0.867,0.943,2.92688359373038e-21,"heterozygous","Abr","DOWN"
2.37421978022061e-24,-0.778264657429121,0.677,0.848,6.69340040439794e-20,"heterozygous","Gm26917","DOWN"
7.70539311713227e-24,-0.670592231995157,0.341,0.625,2.17230442758193e-19,"heterozygous","Nr1d2","DOWN"
4.58575368862265e-23,-0.755241122544258,0.223,0.503,1.2928156798965e-18,"heterozygous","Rgs2","DOWN"
5.42438445922686e-23,0.736998073469184,0.935,0.859,1.52924246674524e-18,"heterozygous","Slc16a7","UP"
2.56943446636506e-22,0.638091118772965,0.46,0.179,7.24374964757638e-18,"heterozygous","Arntl","UP"
1.76995486045858e-21,-0.827997353595642,0.747,0.872,4.98985674260484e-17,"heterozygous","Sh3rf1","DOWN"
6.01677392038017e-19,-0.785003921672159,0.205,0.461,1.69624890363358e-14,"heterozygous","Gm43305","DOWN"
8.14071996060302e-19,0.59288131448673,1,0.998,2.2950317712932e-14,"heterozygous","Gm42418","UP"
3.50834097518888e-17,-0.555233057329364,0.619,0.808,9.8907148772525e-13,"heterozygous","Nadk","DOWN"
8.93279615808368e-17,0.829442899229078,0.53,0.288,2.51833389288695e-12,"heterozygous","Kng2","UP"
3.44991207108136e-16,0.522828826486361,0.984,0.979,9.72599211079258e-12,"heterozygous","Camk1d","UP"
1.25540070290577e-15,-0.475628400174129,0.075,0.253,3.53922566163195e-11,"heterozygous","Tsc22d3","DOWN"
1.27396327082217e-15,0.621358815449116,0.799,0.636,3.59155725310186e-11,"heterozygous","Hexb","UP"
1.57681333931973e-15,-0.372208021248326,0.023,0.166,4.44535216621018e-11,"heterozygous","Ldha","DOWN"
1.78014322814291e-15,-0.383696833238198,0.057,0.227,5.01857978878049e-11,"heterozygous","Per1","DOWN"
2.54202841725991e-15,-0.695427797626432,0.329,0.535,7.16648651393915e-11,"heterozygous","Plcd3","DOWN"
2.54502723869449e-15,-0.46857333525507,0.849,0.935,7.1749407913275e-11,"heterozygous","Sik3","DOWN"
3.51705663133795e-15,0.580771290758696,0.828,0.691,9.91528605506795e-11,"heterozygous","Schip1","UP"
4.41358968522e-15,-0.702733497196025,0.478,0.657,1.24427920405722e-10,"heterozygous","Fkbp5","DOWN"
1.38638651887203e-14,0.973981851298485,0.524,0.328,3.90850087400404e-10,"heterozygous","Myo5a","UP"
5.70995507776066e-14,0.432420907256392,0.867,0.709,1.60975053552228e-09,"heterozygous","Cdkl1","UP"
5.89147149556276e-14,-0.803189260673117,0.853,0.876,1.66092364402905e-09,"heterozygous","Itgav","DOWN"
6.83196898842548e-14,-0.482443545264113,0.456,0.64,1.92606869721691e-09,"heterozygous","Hsd17b12","DOWN"
7.68016359179199e-14,0.562463805100498,0.411,0.211,2.165191719798e-09,"heterozygous","Abca1","UP"
2.99715273414688e-13,-0.507909136985151,0.372,0.564,8.44957298810688e-09,"heterozygous","Tbc1d22b","DOWN"
3.50265275965449e-13,-0.61950329931763,0.594,0.747,9.87467866001793e-09,"heterozygous","Usp33","DOWN"
5.48242662387117e-13,0.404496539618737,0.998,0.992,1.54560571380176e-08,"heterozygous","Cmss1","UP"
7.18812114395091e-13,-0.417955941514844,0.113,0.288,2.02647511290264e-08,"heterozygous","Bhlhe40","DOWN"
9.70619284748638e-13,0.508994975136037,0.544,0.349,2.73636988756336e-08,"heterozygous","Crebrf","UP"
1.13939192050992e-12,0.364012360982343,0.147,0.021,3.21217370230157e-08,"heterozygous","Hao2","UP"
1.80721359092087e-12,-0.319471040675184,0.987,0.987,5.09489655552411e-08,"heterozygous","Tanc2","DOWN"
4.55448323451403e-12,-0.647824980400535,0.648,0.743,1.28399991347419e-07,"heterozygous","Hivep2","DOWN"
5.46760398159189e-12,0.603985178341752,0.395,0.217,1.54142691449038e-07,"heterozygous","D630024D03Rik","UP"
5.69862187389256e-12,-0.361806031132213,0.095,0.255,1.60655547868779e-07,"heterozygous","Trib1","DOWN"
8.99007265840875e-12,0.437592259704636,0.939,0.855,2.5344812838586e-07,"heterozygous","Ipcef1","UP"
1.5904784813435e-11,-0.388866117180624,0.092,0.244,4.4838769346036e-07,"heterozygous","Dusp10","DOWN"
1.85484888574238e-11,-0.504013447156045,0.357,0.558,5.2291899786849e-07,"heterozygous","Sec23b","DOWN"
2.17798883248554e-11,-0.413819387874602,0.75,0.857,6.14018611654323e-07,"heterozygous","Gnb1","DOWN"
2.59551732949055e-11,-0.454970221048903,0.485,0.659,7.31728245529975e-07,"heterozygous","Dennd5a","DOWN"
3.03153350128534e-11,-0.347518524906503,0.928,0.966,8.54649924682364e-07,"heterozygous","Rtn3","DOWN"
4.55304717499893e-11,-0.418358181403041,0.539,0.712,1.2835950595757e-06,"heterozygous","Rapgef3","DOWN"
6.10597166990798e-11,-0.461422408797253,0.797,0.903,1.72139553318046e-06,"heterozygous","Ssh2","DOWN"
6.4515893889384e-11,0.638260772002553,0.296,0.135,1.81883208052951e-06,"heterozygous","Zfp521","UP"
7.97162799223117e-11,-0.313021160813352,0.12,0.278,2.24736136356981e-06,"heterozygous","Per3","DOWN"
9.04768061084068e-11,0.439064052249136,0.842,0.737,2.5507221178082e-06,"heterozygous","Ppfibp2","UP"
1.05044024191872e-10,-0.486116928151452,0.467,0.657,2.96140113001726e-06,"heterozygous","Hnrnph1","DOWN"
1.06219334346436e-10,0.366082672507752,0.984,0.977,2.99453547389474e-06,"heterozygous","Car12","UP"
1.20429402933718e-10,-0.326442442042794,0.065,0.198,3.39514572750737e-06,"heterozygous","Per2","DOWN"
1.35914223565536e-10,-0.431304218050115,0.142,0.299,3.83169379075958e-06,"heterozygous","Hsph1","DOWN"
2.0921460533201e-10,-0.637172067086946,0.934,0.949,5.89817815352003e-06,"heterozygous","Tacc2","DOWN"
2.48653074854861e-10,-0.462529895276405,0.364,0.549,7.01002748630823e-06,"heterozygous","Spred2","DOWN"
2.62265026535183e-10,0.379683629440013,0.887,0.762,7.39377562807988e-06,"heterozygous","Wscd2","UP"
4.63283267734816e-10,0.436235906473204,0.785,0.646,1.30608818839799e-05,"heterozygous","Hnf1b","UP"
4.75981318822842e-10,-0.28655144939771,0.014,0.103,1.34188653402536e-05,"heterozygous","Egr1","DOWN"
4.96382374307654e-10,-0.372247395535542,0.898,0.941,1.39940118964814e-05,"heterozygous","Pdlim5","DOWN"
4.97305986924268e-10,0.345824732377361,0.975,0.964,1.4020050383369e-05,"heterozygous","Pkhd1","UP"
5.18868911350857e-10,-0.484430853223426,0.422,0.579,1.46279523488034e-05,"heterozygous","Dusp16","DOWN"
6.03775226608129e-10,-0.444033533823246,0.896,0.933,1.70216311885364e-05,"heterozygous","Pakap.1","DOWN"
6.89136732360732e-10,-0.34628330429966,0.91,0.947,1.94281427587138e-05,"heterozygous","Arih1","DOWN"
1.14967113866964e-09,-0.426383785648932,0.515,0.682,3.24115287413744e-05,"heterozygous","Mlxip","DOWN"
1.20118073697485e-09,-0.410886160426609,0.402,0.577,3.38636873367948e-05,"heterozygous","Ppp1cc","DOWN"
1.37469564671717e-09,0.545202534572476,0.673,0.554,3.87554196722503e-05,"heterozygous","Emb","UP"
1.40722088096474e-09,-0.440553858437658,0.255,0.417,3.96723710761579e-05,"heterozygous","Noct","DOWN"
1.96796245652869e-09,-0.396554649350052,0.72,0.838,5.54807975744568e-05,"heterozygous","Reps1","DOWN"
2.03869506860041e-09,0.358314261276174,0.803,0.688,5.74748913739826e-05,"heterozygous","5031425E22Rik","UP"
2.4085302198622e-09,0.417676895857625,0.528,0.358,6.79012839583552e-05,"heterozygous","Nav2","UP"
2.62252981564541e-09,-0.347453989114856,0.395,0.573,7.39343605626754e-05,"heterozygous","Gpi1","DOWN"
3.0261702922262e-09,-0.401188040049667,0.343,0.512,8.53137928784411e-05,"heterozygous","Zbtb11","DOWN"
3.44525070730208e-09,0.274616955465614,0.167,0.048,9.71285079402604e-05,"heterozygous","Aldh2","UP"
3.55014305184334e-09,0.380792280395063,0.364,0.202,0.000100085632917567,"heterozygous","Trmt9b","UP"
